job_title,experience_years,programming,data_analysis,web_development,database,communication_skills,project_management
Software Developer,2,1,0,1,1,1,0
Data Analyst,1,1,1,0,1,1,0
Project Manager,5,0,0,0,0,1,1
Web Developer,2,1,0,1,1,0,0
Database Administrator,3,0,0,0,1,1,0
Software Engineer,3,1,0,1,1,1,0
Data Analyst,2,1,1,0,1,1,0
Project Manager,4,0,0,0,0,1,1
Web Developer,1,1,0,1,1,0,0
Software Developer,1,1,0,1,1,1,0
Database Administrator,4,0,0,0,1,1,0
Data Analyst,3,1,1,0,1,1,0
Software Engineer,4,1,0,1,1,1,0
Project Manager,6,0,0,0,0,1,1
Web Developer,3,1,0,1,1,0,0
Software Developer,2,1,0,1,1,1,0
Data Analyst,1,1,1,0,1,1,0
Database Administrator,2,0,0,0,1,1,0
Software Engineer,2,1,0,1,1,1,0
Project Manager,3,0,0,0,0,1,1